endpoint	direction	thresCurva	thresDist	threshold	pooled_variance	dist2l	curvature	p1	p2
120_c_L2_distmoved	0	1	1	45	0.06752251848108963	0.12958546691302178	5.864051741348329e-4	1	19
120_c_L2_distmoved	0	0	0	50	0.04892357415044338	0.12859090789397234	3.477233394238624e-4	1	19
120_c_L2_distmoved	0	0	0	55	0.03201334452539202	0.12590764713532188	2.953475437973098e-4	1	19
120_c_L2_distmoved	0	0	0	60	0.016561526726577153	0.12176598574815739	4.3992897059463333e-4	1	19
120_c_L2_distmoved	0	0	0	65	0.01011046357063913	0.1086236388261354	2.889674209431292e-4	1	19
120_c_L2_distmoved	0	0	0	70	0.006382256115089072	0.09275845710987973	1.341786807006102e-4	1	19
120_c_L2_distmoved	0	0	0	75	0.0032479564882356778	0.07629937212496654	9.898273410541412e-5	1	19
120_c_L2_distmoved	0	0	0	80	0.0021556730922520882	0.057798286587835285	5.329421077027983e-5	1	19
120_c_L2_distmoved	0	0	0	85	0.0015620105559387796	0.03879858401945713	2.45974769175225e-5	1	19
120_c_L2_distmoved	0	0	0	90	0.001430449128622214	0.019336783890106162	1.5123039917788242e-6	1	19
120_c_L2_distmoved	0	0	0	95	0.0011738705021756325	0	5.0657221303475225e-9	1	19
120_d_D2_distmoved	0	0	0	5	0.2350528404233159	0	-2.894433876199672e-6	1	19
120_d_D2_distmoved	0	0	0	10	0.16472640118446744	0.05740781543225432	0.0015309543259460507	1	19
120_d_D2_distmoved	0	0	0	15	0.11017851519690622	0.09903713027731591	0.0014494215601877332	1	19
120_d_D2_distmoved	0	0	0	20	0.07412210873551374	0.1221750273152403	0.0015449581749025	1	19
120_d_D2_distmoved	0	0	1	25	0.05454628103437843	0.12883240060015327	2.8053392088053396e-4	1	19
120_d_D2_distmoved	0	0	0	30	0.04229215163605849	0.12816810001989143	8.471523656530616e-4	1	19
120_d_D2_distmoved	0	0	0	35	0.03682188028660472	0.12071996403325383	-4.129247691103556e-4	1	19
120_d_D2_distmoved	0	1	0	40	0.030410440569653675	0.11421299327277477	3.527835689941365e-4	1	19
120_d_D2_distmoved	0	0	0	45	0.02564989047444709	0.10605513840072738	-2.057861407742847e-4	1	19
120_d_D2_distmoved	0	0	0	50	0.020540429403520338	0.09824619333983964	3.028839914106282e-4	1	19
120_d_D2_distmoved	0	0	0	55	0.017276192698939118	0.08859203007141368	-1.2004405721874438e-4	1	19
120_d_D2_distmoved	0	0	0	60	0.014084127946947467	0.07886569509128666	2.1193450928664622e-4	1	19
120_d_D2_distmoved	0	0	0	65	0.012231915055586993	0.06779951272255343	-8.456558006717499e-5	1	19
120_d_D2_distmoved	0	0	0	70	0.009778529338184148	0.057334501173327355	-1.6223497317960939e-4	1	19
120_d_D2_distmoved	0	0	0	75	0.006409474535714874	0.04778515565293807	2.939849770411666e-4	1	19
120_d_D2_distmoved	0	0	0	80	0.005117036186946095	0.03615920060997323	-1.6929692720656668e-5	1	19
120_d_D2_distmoved	0	0	0	85	0.00422534043444976	0.024132504308294993	-3.390996806935689e-5	1	19
120_d_D2_distmoved	0	0	0	90	0.0031467448493655062	0.012292707215388887	6.285765913593003e-5	1	19
120_d_D2_distmoved	0	0	0	95	0.0025210608984476686	0	-1.231031837808802e-7	1	19
