endpoint	direction	thresCurva	thresDist	threshold	pooled_variance	dist2l	curvature	p1	p2
percent_affected_96	1	0	0	50	0.0045003196478742525	0.02292887392601683	-3.7757146176691165e-5	1	19
percent_affected_96	1	0	0	55	0.0044234962844506235	0.0202902547230897	1.7389363839288727e-5	1	19
percent_affected_96	1	0	0	60	0.004409182552511951	0.01758912589789607	-1.7956861166024279e-6	1	19
percent_affected_96	1	0	0	65	0.0044298214087000265	0.014853044489730243	6.570622912264234e-6	1	19
percent_affected_96	1	0	0	70	0.004684870435090963	0.011882552945930623	8.803007189256961e-5	1	19
percent_affected_96	1	0	0	75	0.005401258027230827	0.00845072290441687	-1.3724841422131054e-4	1	19
percent_affected_96	1	0	0	80	0.0055350512213987665	0.0056014871749583365	1.8131826886463095e-4	1	19
percent_affected_96	1	0	0	85	0.006702076622213811	0.001719019391226117	-9.207321706379051e-5	1	19
percent_affected_96	1	0	0	90	0.0066335062451296735	9.278527968234146e-4	-4.061111365489141e-4	1	19
percent_affected_96	1	0	0	95	0.0029902103559986057	0	6.50273955554281e-7	1	19
percent_mortality_48	1	0	0	5	0.009599742573839786	0	-8.892397450317994e-7	1	14
percent_mortality_48	1	0	0	10	0.0048053517904989495	0.004120577204056536	4.441053599875208e-4	1	14
percent_mortality_48	1	1	1	15	0.003604874437280713	0.004647241010624982	-5.045559869148942e-5	1	14
percent_mortality_48	1	0	0	20	0.0033435509773081873	0.004234750932475699	2.0851044048664965e-4	1	14
percent_mortality_48	1	0	0	25	0.00433113821608814	0.0025733501669146642	-1.841090422235438e-4	1	14
percent_mortality_48	1	0	0	30	0.004027060562273899	0.0022036142822188655	-9.207337576608014e-5	1	14
percent_mortality_48	1	0	0	35	0.0029229031748274053	0.0026339581238902	1.6836432620161493e-4	1	14
percent_mortality_48	1	0	0	40	0.0027159618188139735	0.0021670859422756386	-1.5072024560118912e-4	1	14
percent_mortality_48	1	0	0	45	0.001798579735902315	0.0024106544811081515	9.350510917294062e-5	1	14
percent_mortality_48	1	0	0	50	0.0013377993756945128	0.0021976213013829757	-4.131391723644255e-6	1	14
percent_mortality_48	1	0	0	55	0.001101102855074949	0.0017605042841043546	3.058069288495662e-5	1	14
percent_mortality_48	1	0	0	60	0.0010726158511282897	0.001115177752043475	-1.825081197572595e-5	1	14
percent_mortality_48	1	0	0	65	9.46262932553647e-4	5.677171337219078e-4	-4.553084020584435e-6	1	14
